STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960129,33,-11
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960130,94,-6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960131,56,-56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960201,-22,-72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960202,-11,-72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960203,-67,-94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960204,-83,-128
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960205,-61,-150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960206,17,-122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960207,33,-61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960208,61,11
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960209,100,17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960210,89,22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960211,122,39
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960212,39,-44
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960213,17,-72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960214,117,11
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960215,61,11
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960216,17,-44
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960217,-11,-83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960218,33,-39
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960219,83,-28
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960220,122,22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960221,161,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960222,133,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960223,122,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960224,167,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960225,222,56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960226,161,72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960227,172,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960228,194,17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960229,33,-22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960301,56,-39
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960302,44,6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960303,39,-50
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960304,72,-67
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960305,189,22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960306,178,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960307,83,-22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960308,-22,-72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960309,-11,-83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960310,39,-72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960311,78,-50
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960312,144,-22
